GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0055PE,DP05_0060PE,DP05_0061PE
1400000U,06037123800,Census Tract 1238; Los Angeles County; California,3751,65,32,285,0,639,780,67.6,1.2,0.6,5.1,0,11.5,14
1400000U,06037123901,Census Tract 1239.01; Los Angeles County; California,1742,307,16,161,0,952,1191,39.9,7,0.4,3.7,0,21.8,27.3
1400000U,06037123902,Census Tract 1239.02; Los Angeles County; California,1507,172,39,291,0,358,391,54.6,6.2,1.4,10.6,0,13,14.2
1400000U,06037124000,Census Tract 1240; Los Angeles County; California,3268,208,46,287,0,149,544,72.6,4.6,1,6.4,0,3.3,12.1
1400000U,06037124102,Census Tract 1241.02; Los Angeles County; California,1361,320,0,684,0,817,471,37.3,8.8,0,18.7,0,22.4,12.9
1400000U,06037124103,Census Tract 1241.03; Los Angeles County; California,808,34,14,216,0,559,260,42.7,1.8,0.7,11.4,0,29.6,13.7
1400000U,06037124104,Census Tract 1241.04; Los Angeles County; California,841,139,0,32,0,1007,758,30.3,5,0,1.2,0,36.3,27.3
1400000U,06037124105,Census Tract 1241.05; Los Angeles County; California,734,171,6,112,0,950,218,33.5,7.8,0.3,5.1,0,43.4,9.9
1400000U,06037124201,Census Tract 1242.01; Los Angeles County; California,1048,136,0,199,0,1390,672,30.4,3.9,0,5.8,0,40.3,19.5
1400000U,06037124203,Census Tract 1242.03; Los Angeles County; California,740,69,35,185,0,736,298,35.9,3.3,1.7,9,0,35.7,14.4
1400000U,06037124204,Census Tract 1242.04; Los Angeles County; California,972,168,15,101,0,667,614,38.3,6.6,0.6,4,0,26.3,24.2
1400000U,06037124300,Census Tract 1243; Los Angeles County; California,1466,83,24,224,0,904,393,47.4,2.7,0.8,7.2,0,29.2,12.7
1400000U,06037124400,Census Tract 1244; Los Angeles County; California,2992,15,0,130,0,497,836,66.9,0.3,0,2.9,0,11.1,18.7
1400000U,06037124500,Census Tract 1245; Los Angeles County; California,1673,135,0,189,0,215,516,61.3,4.9,0,6.9,0,7.9,18.9
1400000U,06037124600,Census Tract 1246; Los Angeles County; California,2183,22,0,159,0,87,398,76.6,0.8,0,5.6,0,3.1,14
1400000U,06037124700,Census Tract 1247; Los Angeles County; California,3816,490,24,278,14,130,499,72.7,9.3,0.5,5.3,0.3,2.5,9.5
1400000U,06037124902,Census Tract 1249.02; Los Angeles County; California,1506,338,0,485,0,365,435,48.1,10.8,0,15.5,0,11.7,13.9
1400000U,06037124903,Census Tract 1249.03; Los Angeles County; California,2190,570,12,261,35,198,698,55.2,14.4,0.3,6.6,0.9,5,17.6
1400000U,06037125101,Census Tract 1251.01; Los Angeles County; California,1966,654,82,513,0,555,695,44,14.6,1.8,11.5,0,12.4,15.6
1400000U,06037125102,Census Tract 1251.02; Los Angeles County; California,1460,184,0,88,0,66,255,71.1,9,0,4.3,0,3.2,12.4
1400000U,06037125200,Census Tract 1252; Los Angeles County; California,2606,324,23,209,0,576,465,62,7.7,0.5,5,0,13.7,11.1
1400000U,06037125310,Census Tract 1253.10; Los Angeles County; California,1829,876,0,356,0,558,551,43.9,21,0,8.5,0,13.4,13.2
