GEO_ID,FIPS,Total population
1400000U,6037207307,1439
1400000U,6037207308,1229
1400000U,6037207400,2273
1400000U,6037207501,2106
1400000U,6037207502,3906
1400000U,6037207711,2627
1400000U,6037207712,4927
1400000U,6037207901,3801
1400000U,6037207902,7354
1400000U,6037208001,2581
1400000U,6037208002,4041
1400000U,6037208301,1693
1400000U,6037208302,4715
1400000U,6037208401,3852
1400000U,6037208402,2516
1400000U,6037208501,2458
1400000U,6037208502,3801
1400000U,6037208610,4277
1400000U,6037208620,4000
1400000U,6037208710,4895
1400000U,6037208720,3406
1400000U,6037208801,3368
1400000U,6037208802,2772
1400000U,6037208902,2399
1400000U,6037208903,3819
1400000U,6037208904,3590
1400000U,6037209103,3226
1400000U,6037209104,2567
1400000U,6037209105,3153
1400000U,6037209106,2101
1400000U,6037209201,3298
1400000U,6037209202,1410
1400000U,6037209300,4934
1400000U,6037209401,3689
1400000U,6037209402,4102
1400000U,6037209403,4721
1400000U,6037209510,2656
1400000U,6037209520,2373
1400000U,6037209810,2678
1400000U,6037209820,2498
1400000U,6037210010,3192
1400000U,6037211000,5313
1400000U,6037211121,2318
1400000U,6037211122,2645
1400000U,6037211123,1816
1400000U,6037211124,4287
1400000U,6037211201,2694
1400000U,6037211202,2254
1400000U,6037211310,3484
1400000U,6037211320,3253
1400000U,6037211410,2913
1400000U,6037211420,3495
1400000U,6037211500,3857
1400000U,6037211701,2781
1400000U,6037211703,4564
1400000U,6037211704,2668
1400000U,6037211802,4448
1400000U,6037211803,3635
1400000U,6037211804,3194
1400000U,6037211910,3951
1400000U,6037211921,2001
1400000U,6037211922,3353
1400000U,6037212101,2741
1400000U,6037212102,2955
1400000U,6037212202,3676
1400000U,6037212203,2946
1400000U,6037212204,3720
1400000U,6037212303,3838
1400000U,6037212304,1781
1400000U,6037212305,2711
1400000U,6037212306,2816
1400000U,6037212410,4226
1400000U,6037212420,2661
1400000U,6037212501,1890
1400000U,6037212502,3282
1400000U,6037212610,4211
1400000U,6037212620,3818
1400000U,6037212701,2317
1400000U,6037212702,3389
1400000U,6037212800,3386
1400000U,6037212900,3684
1400000U,6037213100,2790
1400000U,6037213201,4079
1400000U,6037213202,3675
1400000U,6037213310,2519
1400000U,6037213320,2471
1400000U,6037213401,4573
1400000U,6037213402,4477
1400000U,6037214000,3950
1400000U,6037214100,3787
1400000U,6037214400,3008
1400000U,6037214501,3477
1400000U,6037214503,3513
1400000U,6037214504,3609
1400000U,6037214505,1581
1400000U,6037214600,2266
1400000U,6037214700,2517
1400000U,6037214800,2880
1400000U,6037214902,2569
1400000U,6037214903,1568
1400000U,6037214904,1459
1400000U,6037215101,3024
1400000U,6037215102,3322
1400000U,6037216100,2393
1400000U,6037216201,2591
1400000U,6037216202,2525
1400000U,6037216301,1414
1400000U,6037216302,3158
1400000U,6037216401,3660
1400000U,6037216402,2663
1400000U,6037216700,3441
1400000U,6037216800,3333
1400000U,6037216901,2799
1400000U,6037216902,2201
1400000U,6037217001,2777
1400000U,6037217002,4952
1400000U,6037217101,2674
1400000U,6037217102,2773
1400000U,6037217200,3976
1400000U,6037218110,3167
1400000U,6037218120,3571
1400000U,6037218210,4124
1400000U,6037218220,4042
1400000U,6037218300,4811
1400000U,6037218400,3996
1400000U,6037218500,2739
1400000U,6037218600,3129
1400000U,6037218701,1880
1400000U,6037218702,2705
1400000U,6037218800,2732
1400000U,6037218900,5444
1400000U,6037219010,3214
1400000U,6037219020,4326
1400000U,6037219300,3772
1400000U,6037219500,1965
1400000U,6037219700,4198
1400000U,6037219800,3033
1400000U,6037219901,5206
