GEO_ID,FIPS,NAME,S1903_C03_001E
1400000U,6037117201,Census Tract 1172.01; Los Angeles County; California,54301
1400000U,6037117202,Census Tract 1172.02; Los Angeles County; California,98438
1400000U,6037117301,Census Tract 1173.01; Los Angeles County; California,146696
1400000U,6037117302,Census Tract 1173.02; Los Angeles County; California,115708
1400000U,6037117303,Census Tract 1173.03; Los Angeles County; California,129211
1400000U,6037117404,Census Tract 1174.04; Los Angeles County; California,130034
1400000U,6037117405,Census Tract 1174.05; Los Angeles County; California,49615
1400000U,6037117407,Census Tract 1174.07; Los Angeles County; California,53512
1400000U,6037117408,Census Tract 1174.08; Los Angeles County; California,49786
1400000U,6037117510,Census Tract 1175.10; Los Angeles County; California,57984
1400000U,6037117520,Census Tract 1175.20; Los Angeles County; California,50735
1400000U,6037117530,Census Tract 1175.30; Los Angeles County; California,42661
1400000U,6037119001,Census Tract 1190.01; Los Angeles County; California,113114
1400000U,6037119003,Census Tract 1190.03; Los Angeles County; California,99559
1400000U,6037119004,Census Tract 1190.04; Los Angeles County; California,90417
1400000U,6037119201,Census Tract 1192.01; Los Angeles County; California,108807
1400000U,6037119202,Census Tract 1192.02; Los Angeles County; California,75930
1400000U,6037119310,Census Tract 1193.10; Los Angeles County; California,68462
1400000U,6037119320,Census Tract 1193.20; Los Angeles County; California,87903
1400000U,6037119340,Census Tract 1193.40; Los Angeles County; California,46250
1400000U,6037119341,Census Tract 1193.41; Los Angeles County; California,53623
1400000U,6037119342,Census Tract 1193.42; Los Angeles County; California,76713
1400000U,6037119400,Census Tract 1194; Los Angeles County; California,99875
1400000U,6037119700,Census Tract 1197; Los Angeles County; California,90994
1400000U,6037119801,Census Tract 1198.01; Los Angeles County; California,117708
1400000U,6037119802,Census Tract 1198.02; Los Angeles County; California,94063
1400000U,6037119900,Census Tract 1199; Los Angeles County; California,86500
1400000U,6037120010,Census Tract 1200.10; Los Angeles County; California,59938
1400000U,6037120020,Census Tract 1200.20; Los Angeles County; California,42708
1400000U,6037120030,Census Tract 1200.30; Los Angeles County; California,48281
1400000U,6037120103,Census Tract 1201.03; Los Angeles County; California,47069
1400000U,6037120104,Census Tract 1201.04; Los Angeles County; California,52198
1400000U,6037120105,Census Tract 1201.05; Los Angeles County; California,47903
1400000U,6037120106,Census Tract 1201.06; Los Angeles County; California,41045
1400000U,6037120107,Census Tract 1201.07; Los Angeles County; California,41424
1400000U,6037120108,Census Tract 1201.08; Los Angeles County; California,58816
1400000U,6037120300,Census Tract 1203; Los Angeles County; California,56364
1400000U,6037120400,Census Tract 1204; Los Angeles County; California,67679
1400000U,6037121010,Census Tract 1210.10; Los Angeles County; California,76133
1400000U,6037121020,Census Tract 1210.20; Los Angeles County; California,67784
1400000U,6037121101,Census Tract 1211.01; Los Angeles County; California,67778
1400000U,6037121102,Census Tract 1211.02; Los Angeles County; California,81111
